"","concept_id","zh_target","en_target","zh_cue_related_unrelated_nonword","en_cue_related_unrelated_nonword","condition","en_avgRT_prime","zh_avgRT_prime"
"1",589,"死的","dead","活的_爷爷_鱼先","alive_insert_eop","En_no_Chinese_strong",20.13470393,270.667646225989
"2",567,"瘢痕","scar","纹身_惊喜_关态","tattoo_surprise_sepclubber","En_no_Chinese_strong",9.429951625,247.667483269539
"3",674,"卡特尔","cartel","黑手党_害怕_靠任","mafia_piano_arlieu","En_no_Chinese_strong",16.71143325,191.464911105443
"4",874,"选民","voter","候选_印象_俨预","candidate_engineer_catchnomenon","En_no_Chinese_strong",6.572733747,156.983547624647
"5",327,"父亲","father","母亲_下_蛋艰","mother_paradise_espitwine","En_no_Chinese_strong",14.2460111,155.60049075418
"6",565,"减少","reduce","增加_阴道_身完","increase_english_rova","En_no_Chinese_strong",12.38398476,143.380451918975
"7",123,"侄子","nephew","外孙_慢慢_速共","grandson_civil_goua","En_no_Chinese_strong",8.513706489,133.57107035084
"8",112,"疾病","disease","流感_正面_合纸","flu_button_ien","En_no_Chinese_strong",-13.55591796,110.541499239345
"9",391,"射击","shoot","开枪_夏洛克_稿肉","shot_code_secreveal","En_no_Chinese_strong",7.617706304,131.492498147649
"10",976,"修道院","convent","寺庙_孤儿院_擂台_巨龙_酵歌_内刀","orphanage_lie_frecourcy","En_no_Chinese_strong",-5.074232399,112.103268688586
"11",979,"赎金","ransom","绑匪_教练_壮来","kidnapper_mile_rabee","En_no_Chinese_strong",16.37475056,124.757025591041
"12",768,"太阳","sun","月亮_月球_荷载_青春_意员_气胡","moon_charm_kruer","En_no_Chinese_strong",14.24867513,121.736695661252
"13",753,"庇护所","shelter","避难_碳素_饭掩","refuge_carbon_obtens","En_no_Chinese_strong",-14.4288304,89.609839532635
"14",658,"同情","compassion","耐心_棱锥_口伍","patience_pyramid_gunblunder","En_no_Chinese_strong",-4.367744553,97.917885591
"15",281,"锤子","hammer","棍棒_相似_林变","stick_envelope_vilple","En_no_Chinese_strong",-14.60512108,86.409995380017
"16",33,"蓝色","blue","棕色_无政府主义_作浑","brown_hope_fortro","En_no_Chinese_strong",6.722082594,105.864268519838
"17",992,"资本主义","capitalism","无政府主义_毯子_艺配","anarchy_avenue_totch","En_no_Chinese_strong",-7.684872144,87.4406466727002
"18",784,"勋章","medal","奖杯_错误_赌饱","trophy_route_cheture","En_no_Chinese_strong",-3.480395084,89.989895490141
"19",344,"队长","captain","长官_顶端_煞边","commander_throat_bruld","En_no_Chinese_strong",-12.78263331,80.4735385962992
"20",172,"果汁","juice","牛奶_学习_世酱","milk_internal_cavty","En_no_Chinese_strong",3.490308542,96.3576371545225
"21",493,"囚犯","prisoner","人质_打击_靠山","hostage_gossip_podolty","En_no_Chinese_strong",15.17452779,107.777538293693
"22",268,"表现","performance","显示_一_男赶","show_racist_seund","En_no_Chinese_strong",-9.637031418,82.9632434393728
"23",584,"卧室","bedroom","房间_饮料_电掉","room_frog_opership","En_no_Chinese_strong",19.17413362,108.847374567013
