"word","class","avgRT","avgZ_RT","samplesize","n_answered","seRT","seZ_RT","accuracy","Z2.5_avgRT","Z2.5_avgZ_RT","Z2.5_samplesize","Z2.5_n_answered","Z2.5_seRT","Z2.5_seZ_RT","Z2.5_accuracy","Z3.0_avgRT","Z3.0_avgZ_RT","Z3.0_samplesize","Z3.0_n_answered","Z3.0_seRT","Z3.0_seZ_RT","Z3.0_accuracy"
"hiv","word",1258.66501562449,2.21388828272023,64,124,64.9220566624548,0.243913001542659,0.516129032258065,925.254567565755,0.884879878813634,37,37,42.6512600434371,0.144495298167014,1,1013.15409301849,1.13927749708372,43,43,52.5441386586625,0.157953465155413,1
"一","word",1095.92009523875,1.6281706423807,84,113,57.9690190014722,0.236370660147279,0.743362831858407,882.752323074294,0.678320412594207,65,65,31.0376104209292,0.0955666930678572,1,912.433579707672,0.795366586090741,69,69,33.0273695318492,0.106685814794494,1
"一刻","word",656.338554547461,-0.0646779572137097,110,119,21.0068921256655,0.0811825465745948,0.92436974789916,647.100348625878,-0.0947221359593041,109,109,19.0403950448911,0.0761136364809524,1,647.100348625878,-0.0947221359593041,109,109,19.0403950448911,0.0761136364809524,1
"一松","nonword",731.231709307481,0.11650670246701,86,95,39.7464198094111,0.110674827347004,0.905263157894737,681.197726194725,0.000556789777999667,84,84,18.9016101431962,0.0746943202013793,1,681.197726194725,0.000556789777999667,84,84,18.9016101431962,0.0746943202013793,1
"一疑","nonword",694.729576384723,0.0870639446337891,144,153,22.4035280966726,0.0698003207616858,0.941176470588235,670.719690136958,0.0228138219663357,142,142,14.8870675900902,0.051508721020789,1,670.719690136958,0.0228138219663357,142,142,14.8870675900902,0.051508721020789,1
"一百","word",697.407864023099,0.00814231167184961,125,129,29.4442438394373,0.109569774165493,0.968992248062015,663.740860680088,-0.133390669458248,122,122,20.2584068279568,0.0688289759126264,1,667.050617910331,-0.108572690533927,123,123,20.3637992489213,0.0726383414918873,1
"一直","word",645.790400000191,-0.125006711736592,155,168,21.447948806472,0.0732492440944955,0.922619047619048,624.24975000019,-0.206829819581049,152,152,17.2281668836094,0.0565181879549796,1,624.24975000019,-0.206829819581049,152,152,17.2281668836094,0.0565181879549796,1
"一级棒","word",835.150818188735,0.587862934279159,132,149,32.29485842225,0.110092669643385,0.885906040268456,752.297366675574,0.307687990426238,120,120,22.4476725728418,0.0838035306497081,1,774.155306459944,0.383729264334852,124,124,25.0408738579803,0.0893704664514041,1
"一般","word",622.310033621754,-0.31641754165471,119,126,17.6923579626254,0.0494362258483157,0.944444444444444,615.112940686547,-0.340775784277491,118,118,16.2998989676488,0.0433849157145336,1,622.310033621754,-0.31641754165471,119,119,17.6923579626254,0.0494362258483157,1
"一赛","nonword",714.64113636695,0.0841114289707695,132,142,28.4527653197208,0.093264812628181,0.929577464788732,662.181519687823,-0.0843875420904159,127,127,15.8145670322934,0.0533534055330662,1,672.951976565268,-0.0629983136902743,128,128,19.0314332350457,0.0570929686487169,1
